combined_text,sentiment,overall,verified,vote,style_Size,style_Color,textLen,wordCount,is_outlier,clean_vader,clean_swn,vader_score,vader_pred,swn_score,swn_prediction
Beautiful ring!!! Love the mirror finish - very comfortable - scratchproof. Pairs beautifully with my white gold engagement ring.,Positive,5.0,True,,6,3mm,129,19,False,Beautiful ring!!! Love the mirror finish - very comfortable - scratchproof. Pairs beautifully with my white gold engagement ring.,"['beautiful', 'ring', 'love', 'mirror', 'finish', 'comfortable', 'scratchproof', 'pair', 'beautifully', 'white', 'gold', 'engagement', 'ring']",0.9651,Positive,0.875,Positive
"Too large I've always gotten this size in Nike shoes with similar description, but these are too long- at least an inch and 1/2.",Negative,2.0,True,,8.5 B(M) US,Black/White/Anthracite/Stealth,128,24,False,"Too large I've always gotten this size in Nike shoes with similar description, but these are too long- at least an inch and 1/2.","['large', 'ive', 'always', 'gotten', 'size', 'nike', 'shoe', 'similar', 'description', 'long', 'least', 'inch', '12']",0.0,Neutral,0.125,Positive
Poor Quality. Don't buy. After using this shoes seven times for regular activities like walking or dancing the sole came out. I am very disappointed. I don't recommend this product at all. The worse part is that I can not return this item because the return window closed 4 days ago.,Negative,1.0,True,14.0,7.5 B(M) US,Black/White/Anthracite/Stealth,283,51,False,Poor Quality. Don't buy. After using this shoes seven times for regular activities like walking or dancing the sole came out. I am very disappointed. I don't recommend this product at all. The worse part is that I can not return this item because the return window closed 4 days ago.,"['poor', 'quality', 'dont', 'buy', 'using', 'shoe', 'seven', 'time', 'regular', 'activity', 'like', 'walking', 'dancing', 'sole', 'came', 'disappointed', 'dont', 'recommend', 'product', 'worse', 'part', 'return', 'item', 'return', 'window', 'closed', '4', 'day', 'ago']",-0.8482,Negative,-2.25,Negative
Soft. Strong. Comfortable!! Would recomend,Positive,5.0,True,,Large,Black 2 Pack,42,5,False,Soft. Strong. Comfortable!! Would recomend,"['soft', 'strong', 'comfortable', 'would', 'recomend']",0.8011,Positive,0.25,Positive
Shoes Good looking shoe,Positive,5.0,True,,8 B(M) US,Black,23,4,False,Shoes Good looking shoe,"['shoe', 'good', 'looking', 'shoe']",0.4404,Positive,0.75,Positive
Very Comfortable Best tennis shoes I've had all my life. Very comfortable out the box. I would buy 10 pairs of these shoes if had the money.,Positive,5.0,True,,9.5 B(M) US,Black/White/Anthracite/Stealth,140,27,False,Very Comfortable Best tennis shoes I've had all my life. Very comfortable out the box. I would buy 10 pairs of these shoes if had the money.,"['comfortable', 'best', 'tennis', 'shoe', 'ive', 'life', 'comfortable', 'box', 'would', 'buy', '10', 'pair', 'shoe', 'money']",0.9129,Positive,-0.625,Negative
Five Stars Extremely well fitting and light weight,Positive,5.0,True,,7 B(M) US,Grey,50,8,False,Five Stars Extremely well fitting and light weight,"['five', 'star', 'extremely', 'well', 'fitting', 'light', 'weight']",0.3384,Positive,1.75,Positive
Five Stars Love them !!!,Positive,5.0,True,,9.5 B(M) US,Black/White/Anthracite/Stealth,24,5,False,Five Stars Love them !!!,"['five', 'star', 'love']",0.7249,Positive,0.625,Positive
Poor quality for Nike After less than a week the sole ripped off on the outside of the shoe,Negative,1.0,True,19.0,7.5 B(M) US,Cool Grey/Volt/Pure Platinum,91,19,False,Poor quality for Nike After less than a week the sole ripped off on the outside of the shoe,"['poor', 'quality', 'nike', 'less', 'week', 'sole', 'ripped', 'outside', 'shoe']",-0.4767,Negative,-0.625,Negative
Not for aerobic exercise Good for non-aerobic workout. Mesh was very comfortable but no support for lateral movrment.,Neutral,3.0,True,,8 B(M) US,Grey,117,18,False,Not for aerobic exercise Good for non-aerobic workout. Mesh was very comfortable but no support for lateral movrment.,"['aerobic', 'exercise', 'good', 'nonaerobic', 'workout', 'mesh', 'comfortable', 'support', 'lateral', 'movrment']",0.1914,Positive,0.125,Positive
Favorite Nikes ever Favorite Nikes ever. I already owned this style and was ready for a new pair so I went with these. Love the color and they fit great.,Positive,5.0,True,,7.5 B(M) US,Hyper Jade/Mtlc Silver/Hyper Turq,153,30,False,Favorite Nikes ever Favorite Nikes ever. I already owned this style and was ready for a new pair so I went with these. Love the color and they fit great.,"['favorite', 'nike', 'ever', 'favorite', 'nike', 'ever', 'already', 'owned', 'style', 'ready', 'new', 'pair', 'went', 'love', 'color', 'fit', 'great']",0.9601,Positive,0.5,Positive
"Great shoe! Great shoe. I've had Nike's before and have always been pleased with the comfort, performance, and quality. Though I will say this was the first time I ordered a pair online without trying them on first, so I was nervous. But this turned out to be a great choice. Breathable, lightweight but sturdy, and comfortable during all my workouts. The built-in arch support is great and I've had no discomfort after 2 weeks of use. As far as the sole thickness and cushioning goes, I would consider these a 'medium' build (not thin, not overly thick) so if you're into heavy running outdoors then take that into consideration. Everyone is different in their preference for cushioning, but I think for light runs on a treadmill they would be sufficient. Love these, highly recommend!",Positive,5.0,True,,9 B(M) US,Black/White/Anthracite/Stealth,786,135,True,"Great shoe! Great shoe. I've had Nike's before and have always been pleased with the comfort, performance, and quality. Though I will say this was the first time I ordered a pair online without trying them on first, so I was nervous. But this turned out to be a great choice. Breathable, lightweight but sturdy, and comfortable during all my workouts. The built-in arch support is great and I've had no discomfort after 2 weeks of use. As far as the sole thickness and cushioning goes, I would consider these a 'medium' build (not thin, not overly thick) so if you're into heavy running outdoors then take that into consideration. Everyone is different in their preference for cushioning, but I think for light runs on a treadmill they would be sufficient. Love these, highly recommend!","['great', 'shoe', 'great', 'shoe', 'ive', 'nike', 'always', 'pleased', 'comfort', 'performance', 'quality', 'though', 'say', 'first', 'time', 'ordered', 'pair', 'online', 'without', 'trying', 'first', 'nervous', 'turned', 'great', 'choice', 'breathable', 'lightweight', 'sturdy', 'comfortable', 'workout', 'builtin', 'arch', 'support', 'great', 'ive', 'discomfort', '2', 'week', 'use', 'far', 'sole', 'thickness', 'cushioning', 'go', 'would', 'consider', 'medium', 'build', 'thin', 'overly', 'thick', 'youre', 'heavy', 'running', 'outdoors', 'take', 'consideration', 'everyone', 'different', 'preference', 'cushioning', 'think', 'light', 'run', 'treadmill', 'would', 'sufficient', 'love', 'highly', 'recommend']",0.9915,Positive,0.875,Positive
It is comfortable. The shoe fit has expected. It is comfortable.,Positive,5.0,True,,8.5 B(M) US,Black/White/Anthracite/Stealth,64,11,False,It is comfortable. The shoe fit has expected. It is comfortable.,"['comfortable', 'shoe', 'fit', 'expected', 'comfortable']",0.8442,Positive,-2.0,Negative
Oops! Waaay too small. Will use for future child.,Neutral,3.0,True,,Little Boys,Light Blue/Red,49,9,False,Oops! Waaay too small. Will use for future child.,"['oops', 'waaay', 'small', 'use', 'future', 'child']",0.0,Neutral,-0.5,Negative
"Correct size Sizing was perfect as ordered. Quality appears good, still new, not too much more to report.",Positive,5.0,True,,7.5 B(M) US,Black/Red Bronze/White,105,18,False,"Correct size Sizing was perfect as ordered. Quality appears good, still new, not too much more to report.","['correct', 'size', 'sizing', 'perfect', 'ordered', 'quality', 'appears', 'good', 'still', 'new', 'much', 'report']",0.765,Positive,2.25,Positive
Five Stars c,Positive,5.0,True,,6.5 B(M) US,Hyper Jade/Mtlc Silver/Hyper Turq,12,3,False,Five Stars c,"['five', 'star', 'c']",0.0,Neutral,0.0,Neutral
Five Stars perfect,Positive,5.0,True,,11 D(M) US,Cool Grey/Team Orange/White/Platinum,18,3,False,Five Stars perfect,"['five', 'star', 'perfect']",0.5719,Positive,0.0,Neutral
Love these shoes I have been wearing for a solid week during my work outs & they are great for comfort and they are light weight.,Positive,5.0,True,,6 B(M) US,Black/White-anthracite-stealth,129,26,False,Love these shoes I have been wearing for a solid week during my work outs & they are great for comfort and they are light weight.,"['love', 'shoe', 'wearing', 'solid', 'week', 'work', 'out', 'great', 'comfort', 'light', 'weight']",0.9081,Positive,0.75,Positive
Five Stars looks great,Positive,5.0,True,,9.5,6mm,22,4,False,Five Stars looks great,"['five', 'star', 'look', 'great']",0.6249,Positive,0.125,Positive
Good fit Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Positive,5.0,True,3.0,Medium,Light Steel,232,45,False,Good fit Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,"['good', 'fit', 'good', 'fit', 'even', 'washing', 'hot', 'water', 'force', 'shrinking', '30', 'inch', 'inseam', '34', 'waist', 'got', 'medium', 'size', 'note', 'sweatpants', 'thick', 'good', 'warm', 'climate', 'good', 'quality', 'great', 'price']",0.9253,Positive,2.0,Positive
Five Stars Love them! Fit exactly as expected in length and width! I would definitely buy these again.,Positive,5.0,True,,8.5 B(M) US,Black/White/Anthracite/Stealth,102,18,False,Five Stars Love them! Fit exactly as expected in length and width! I would definitely buy these again.,"['five', 'star', 'love', 'fit', 'exactly', 'expected', 'length', 'width', 'would', 'definitely', 'buy']",0.8745,Positive,0.875,Positive
My second favorite. Cute and comfy. Sleek design. My only complaint is the fly wire loosens up and my shoe sometimes slips off my heels during heavy sled runs. I have two pairs of this style.,Positive,4.0,True,,7 B(M) US,Black/White/Anthracite/Stealth,191,36,False,My second favorite. Cute and comfy. Sleek design. My only complaint is the fly wire loosens up and my shoe sometimes slips off my heels during heavy sled runs. I have two pairs of this style.,"['second', 'favorite', 'cute', 'comfy', 'sleek', 'design', 'complaint', 'fly', 'wire', 'loosens', 'shoe', 'sometimes', 'slip', 'heel', 'heavy', 'sled', 'run', 'two', 'pair', 'style']",0.5859,Positive,0.375,Positive
"Good shoes Very good overall.
Now Ive been a huge Sketchers Go Walk fan for some time and the only reason I tried these instead of the latest number 4 of those is because the tread looked too slippery to me.
These shoes are very sturdy and the grip of the soles has been very solid so far. I use them for basic workout cardio and cross training, as well as work as a massage therapist (I go through shoes fast enough that Ive recently consolidated).
If you're a Go Walk fan, these do not offer the same level of cushion-comfort as those, HOWEVER, they offer the kind of long-term comfort to make them a durable option.
The material of the shoes seem very durable and the breathable. My feet do not feel hot in them.
Now these shoes are ideal for a basic workout or cross training, I would not get them to do 25,000 steps in Walt Disney World.
Solid choice, overall.",Positive,4.0,True,,9.5 B(M) US,Black/White/Anthracite/Stealth,865,164,True,"Good shoes Very good overall. Now Ive been a huge Sketchers Go Walk fan for some time and the only reason I tried these instead of the latest number 4 of those is because the tread looked too slippery to me. These shoes are very sturdy and the grip of the soles has been very solid so far. I use them for basic workout cardio and cross training, as well as work as a massage therapist (I go through shoes fast enough that Ive recently consolidated). If you're a Go Walk fan, these do not offer the same level of cushion-comfort as those, HOWEVER, they offer the kind of long-term comfort to make them a durable option. The material of the shoes seem very durable and the breathable. My feet do not feel hot in them. Now these shoes are ideal for a basic workout or cross training, I would not get them to do 25,000 steps in Walt Disney World. Solid choice, overall.","['good', 'shoe', 'good', 'overall', 'ive', 'huge', 'sketcher', 'go', 'walk', 'fan', 'time', 'reason', 'tried', 'instead', 'latest', 'number', '4', 'tread', 'looked', 'slippery', 'shoe', 'sturdy', 'grip', 'sol', 'solid', 'far', 'use', 'basic', 'workout', 'cardio', 'cross', 'training', 'well', 'work', 'massage', 'therapist', 'go', 'shoe', 'fast', 'enough', 'ive', 'recently', 'consolidated', 'youre', 'go', 'walk', 'fan', 'offer', 'level', 'cushioncomfort', 'however', 'offer', 'kind', 'longterm', 'comfort', 'make', 'durable', 'option', 'material', 'shoe', 'seem', 'durable', 'breathable', 'foot', 'feel', 'hot', 'shoe', 'ideal', 'basic', 'workout', 'cross', 'training', 'would', 'get', '25000', 'step', 'walt', 'disney', 'world', 'solid', 'choice', 'overall']",0.9674,Positive,1.625,Positive
Four Stars Very nice,Positive,4.0,True,,X-Large,Multi,20,4,False,Four Stars Very nice,"['four', 'star', 'nice']",0.4754,Positive,0.0,Neutral
"colors look great together. Very lightweight. Normal Nike quality. Pink is very bright , colors look great together.",Positive,5.0,True,,7 B(M) US,Black/Wolf Grey/White/Pink,116,18,False,"colors look great together. Very lightweight. Normal Nike quality. Pink is very bright , colors look great together.","['color', 'look', 'great', 'together', 'lightweight', 'normal', 'nike', 'quality', 'pink', 'bright', 'color', 'look', 'great', 'together']",0.908,Positive,0.0,Neutral
the Nike Womens Flex Trainer 6 is way better looking and costs about the same They're ugly: the toe is rounded and the material is weird. the Nike Womens Flex Trainer 6 is way better looking and costs about the same.,Neutral,3.0,True,,9 B(M) US,Black/White/Anthracite/Stealth,216,41,False,the Nike Womens Flex Trainer 6 is way better looking and costs about the same They're ugly: the toe is rounded and the material is weird. the Nike Womens Flex Trainer 6 is way better looking and costs about the same.,"['nike', 'womens', 'flex', 'trainer', '6', 'way', 'better', 'looking', 'cost', 'theyre', 'ugly', 'toe', 'rounded', 'material', 'weird', 'nike', 'womens', 'flex', 'trainer', '6', 'way', 'better', 'looking', 'cost']",0.2023,Positive,1.875,Positive
"you feel like you have a lot of room The shoes fit well in the arch area. They are a little wider in the toe area of the shoe, you feel like you have a lot of room. This does not make the shoe uncomfortable, just had to get used to it. Love the shoe.",Positive,4.0,True,,8.5 B(M) US,Black/White/Anthracite/Stealth,250,55,False,"you feel like you have a lot of room The shoes fit well in the arch area. They are a little wider in the toe area of the shoe, you feel like you have a lot of room. This does not make the shoe uncomfortable, just had to get used to it. Love the shoe.","['feel', 'like', 'lot', 'room', 'shoe', 'fit', 'well', 'arch', 'area', 'little', 'wider', 'toe', 'area', 'shoe', 'feel', 'like', 'lot', 'room', 'make', 'shoe', 'uncomfortable', 'get', 'used', 'love', 'shoe']",0.8807,Positive,0.75,Positive
"Five Stars I wear these everyday to work, the gym, etc.",Positive,5.0,True,,9 B(M) US,Black/White/Anthracite/Stealth,55,11,False,"Five Stars I wear these everyday to work, the gym, etc.","['five', 'star', 'wear', 'everyday', 'work', 'gym', 'etc']",0.0,Neutral,-0.125,Negative
excellent value and quality Excellent value,Positive,4.0,True,,3.25,,43,6,False,excellent value and quality Excellent value,"['excellent', 'value', 'quality', 'excellent', 'value']",0.9042,Positive,2.375,Positive
Five Stars Perfect!,Positive,5.0,True,,9 B(M) US,Hyper Jade/Mtlc Silver/Hyper Turq,19,3,False,Five Stars Perfect!,"['five', 'star', 'perfect']",0.6114,Positive,0.0,Neutral
Four Stars Comfortable shoe.  I would buy again,Positive,4.0,True,,6.5 B(M) US,White/Hyper Pink/Pure Platinum/Wolf Grey,47,8,False,Four Stars Comfortable shoe. I would buy again,"['four', 'star', 'comfortable', 'shoe', 'would', 'buy']",0.5106,Positive,-0.75,Negative
"Was terribly disappointed, the pants were way too large in ... Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.",Negative,1.0,True,,,,191,34,False,"Was terribly disappointed, the pants were way too large in ... Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","['terribly', 'disappointed', 'pant', 'way', 'large', 'terribly', 'disappointed', 'pant', 'way', 'large', 'leg', 'husband', 'looked', 'like', 'wearing', 'blown', 'clown', 'pant']",-0.8979,Negative,-0.5,Negative
Five Stars Super comfy!!,Positive,5.0,True,,10 B(M) US,Black/White/Anthracite/Stealth,24,4,False,Five Stars Super comfy!!,"['five', 'star', 'super', 'comfy']",0.6688,Positive,0.0,Neutral
"Comfortable, light weight, nice. Love these sneakers. Light weight and comfortable even without socks.",Positive,5.0,True,,8 B(M) US,Black/White/Anthracite/Stealth,102,14,False,"Comfortable, light weight, nice. Love these sneakers. Light weight and comfortable even without socks.","['comfortable', 'light', 'weight', 'nice', 'love', 'sneaker', 'light', 'weight', 'comfortable', 'even', 'without', 'sock']",0.9274,Positive,-0.125,Negative
Five Stars As expected.,Positive,5.0,True,,8.5 B(M) US,Black/White/Anthracite/Stealth,23,4,False,Five Stars As expected.,"['five', 'star', 'expected']",0.0,Neutral,0.0,Neutral
somewhat large fit The shoe is too large. When you do lunges it hurts the heel. The shoe size from a local store is the size I ordered from Amazon however the size or fitting seems to be large,Neutral,3.0,True,,9 B(M) US,Blue Tint/Green Glow/Hasta/White,192,39,False,somewhat large fit The shoe is too large. When you do lunges it hurts the heel. The shoe size from a local store is the size I ordered from Amazon however the size or fitting seems to be large,"['somewhat', 'large', 'fit', 'shoe', 'large', 'lunge', 'hurt', 'heel', 'shoe', 'size', 'local', 'store', 'size', 'ordered', 'amazon', 'however', 'size', 'fitting', 'seems', 'large']",-0.046,Neutral,-0.125,Negative
Four Stars Nice fit,Positive,4.0,True,,9 B(M) US,Wolf Grey/Black-pink Blast/White,19,4,False,Four Stars Nice fit,"['four', 'star', 'nice', 'fit']",0.6486,Positive,0.375,Positive
"I am so happy with this purchase I am so happy with this purchase. I feel like I'm barely wearing a sneaker when working out. Another plus is that when I take off my sneaker, my sock is barely sweaty! I have never had that experience with a shoe. The shoe is also very attractive and flattering and looks nice on my feet.",Positive,5.0,True,7.0,8 B(M) US,Black/White/Anthracite/Stealth,321,63,False,"I am so happy with this purchase I am so happy with this purchase. I feel like I'm barely wearing a sneaker when working out. Another plus is that when I take off my sneaker, my sock is barely sweaty! I have never had that experience with a shoe. The shoe is also very attractive and flattering and looks nice on my feet.","['happy', 'purchase', 'happy', 'purchase', 'feel', 'like', 'im', 'barely', 'wearing', 'sneaker', 'working', 'another', 'plus', 'take', 'sneaker', 'sock', 'barely', 'sweaty', 'never', 'experience', 'shoe', 'shoe', 'also', 'attractive', 'flattering', 'look', 'nice', 'foot']",0.9676,Positive,3.5,Positive
Five Stars Great shoes. Lightweight and comfortable,Positive,5.0,True,,6 B(M) US,Black/White-anthracite-stealth,51,7,False,Five Stars Great shoes. Lightweight and comfortable,"['five', 'star', 'great', 'shoe', 'lightweight', 'comfortable']",0.8126,Positive,-0.75,Negative
Five Stars yes,Positive,5.0,True,,9,5mm,14,3,False,Five Stars yes,"['five', 'star', 'yes']",0.4019,Positive,0.25,Positive
"Did not fit my feet Unfortunately, this Flex Supreme does NOT have enough support over the toe and ankle are for my requirements.
Returning for credit.  Thanks anyway.",Negative,1.0,True,,8.5 B(M) US,Wolf Grey/Black-pink Blast/White,167,28,False,"Did not fit my feet Unfortunately, this Flex Supreme does NOT have enough support over the toe and ankle are for my requirements. Returning for credit. Thanks anyway.","['fit', 'foot', 'unfortunately', 'flex', 'supreme', 'enough', 'support', 'toe', 'ankle', 'requirement', 'returning', 'credit', 'thanks', 'anyway']",0.5158,Positive,0.0,Neutral
"Exactly What I Was Looking For Tried them on in a store before buying online so I knew they'd fit good. Overall I was looking for a durable cross training shoe that would hold up to my rigorous training and these have been great so far. They are really light and comfortable. Most importantly for me they have grips on the bottoms so my feet don't slide out from under me while doing planks, push-ups, etc. Highly satisfied with this purchase.",Positive,5.0,True,22.0,8.5 B(M) US,Black/White/Anthracite/Stealth,443,81,False,"Exactly What I Was Looking For Tried them on in a store before buying online so I knew they'd fit good. Overall I was looking for a durable cross training shoe that would hold up to my rigorous training and these have been great so far. They are really light and comfortable. Most importantly for me they have grips on the bottoms so my feet don't slide out from under me while doing planks, push-ups, etc. Highly satisfied with this purchase.","['exactly', 'looking', 'tried', 'store', 'buying', 'online', 'knew', 'theyd', 'fit', 'good', 'overall', 'looking', 'durable', 'cross', 'training', 'shoe', 'would', 'hold', 'rigorous', 'training', 'great', 'far', 'really', 'light', 'comfortable', 'importantly', 'grip', 'bottom', 'foot', 'dont', 'slide', 'plank', 'pushup', 'etc', 'highly', 'satisfied', 'purchase']",0.9489,Positive,2.125,Positive
Good just watch the seams! I ended up having to throw them out. The inside seam and around the private area was unraveling which can't happen when working out. I have a black pair which are just find so I think I got a defective pair.,Neutral,3.0,True,,Medium,Heather Charcoal,234,46,False,Good just watch the seams! I ended up having to throw them out. The inside seam and around the private area was unraveling which can't happen when working out. I have a black pair which are just find so I think I got a defective pair.,"['good', 'watch', 'seam', 'ended', 'throw', 'inside', 'seam', 'around', 'private', 'area', 'unraveling', 'cant', 'happen', 'working', 'black', 'pair', 'find', 'think', 'got', 'defective', 'pair']",0.0,Neutral,1.125,Positive
Low cut heels Very low cut heel so if you training and pushing sleds - I ran right out of shoes! Although the traction on toe and heel are great,Neutral,3.0,True,,8.5 B(M) US,Wolf Grey/Black-pink Blast/White,144,30,False,Low cut heels Very low cut heel so if you training and pushing sleds - I ran right out of shoes! Although the traction on toe and heel are great,"['low', 'cut', 'heel', 'low', 'cut', 'heel', 'training', 'pushing', 'sled', 'ran', 'right', 'shoe', 'although', 'traction', 'toe', 'heel', 'great']",-0.4877,Negative,-0.125,Negative
Three Stars Nice,Neutral,3.0,True,,7 B(M) US,Wolf Grey/Black-pink Blast/White,16,3,False,Three Stars Nice,"['three', 'star', 'nice']",0.4215,Positive,0.0,Neutral
"Love them Love these shoes, I have worn them all day and found them really comfortable with no aching feet at the end of the day. Fantastic colour and true to size. I also bought  Nike Women's Flex Supreme Tr 3 Pnk Pw/Mtllc Slvr/Cl Gry/White Training Shoe and these shoes are slightly more comfortable than those even though they look very similar.",Positive,5.0,True,,10 B(M) US,Pink Blast/Stealth/Hyper Pink/White,348,62,False,"Love them Love these shoes, I have worn them all day and found them really comfortable with no aching feet at the end of the day. Fantastic colour and true to size. I also bought Nike Women's Flex Supreme Tr 3 Pnk Pw/Mtllc Slvr/Cl Gry/White Training Shoe and these shoes are slightly more comfortable than those even though they look very similar.","['love', 'love', 'shoe', 'worn', 'day', 'found', 'really', 'comfortable', 'aching', 'foot', 'end', 'day', 'fantastic', 'colour', 'true', 'size', 'also', 'bought', 'nike', 'womens', 'flex', 'supreme', 'tr', '3', 'pnk', 'pwmtllc', 'slvrcl', 'grywhite', 'training', 'shoe', 'shoe', 'slightly', 'comfortable', 'even', 'though', 'look', 'similar']",0.9798,Positive,-0.125,Negative
"Great I actually have 3 pairs of these trainers.  They are very comfortable, there is a neoprene sleeve that goes around your ankle that makes them the most comfortable for me compared to normal athletic shoes.  They run a little narrow - for me this is perfect, but you may want to round up on the size or try on in the store first if your feet are on the wider side.",Positive,5.0,True,3.0,7.5 B(M) US,Black/White/Anthracite/Stealth,368,72,False,"Great I actually have 3 pairs of these trainers. They are very comfortable, there is a neoprene sleeve that goes around your ankle that makes them the most comfortable for me compared to normal athletic shoes. They run a little narrow - for me this is perfect, but you may want to round up on the size or try on in the store first if your feet are on the wider side.","['great', 'actually', '3', 'pair', 'trainer', 'comfortable', 'neoprene', 'sleeve', 'go', 'around', 'ankle', 'make', 'comfortable', 'compared', 'normal', 'athletic', 'shoe', 'run', 'little', 'narrow', 'perfect', 'may', 'want', 'round', 'size', 'try', 'store', 'first', 'foot', 'wider', 'side']",0.8378,Positive,-3.0,Negative
Five Stars My favorite nike shoe,Positive,5.0,True,,8 B(M) US,Black/Wolf Grey/White/Pink,32,6,False,Five Stars My favorite nike shoe,"['five', 'star', 'favorite', 'nike', 'shoe']",0.4588,Positive,0.25,Positive
Five Stars I love this shoes they are so comfortable,Positive,5.0,True,,7 M US,Wolf Grey/Black-pink Blast/White,52,10,False,Five Stars I love this shoes they are so comfortable,"['five', 'star', 'love', 'shoe', 'comfortable']",0.857,Positive,-0.125,Negative
